usa,china
91,69
92,69
92,69
92,69
92,69
92,69
92,70
93,70
93,71
93,71
93,71
93,71
93,71
93,71
93,71
93,71
93,71
93,71
93,71
93,71
93,71
93,71
93,71
93,71
94,71
94,71
95,71
95,71
95,71
95,71
96,71
96,71
96,72
96,72
96,72
96,72
96,73
97,73
97,73
97,73
97,73
97,73
97,73
98,73
99,73
100,73
100,74
100,75
100,75
100,75
100,75
101,75
101,75
101,75
101,75
101,75
101,75
101,75
101,75
101,76
101,76
101,76
101,76
101,76
101,76
101,76
101,76
101,76
101,76
101,76
101,76
102,76
102,76
102,76
102,76
102,76
102,76
102,77
103,77
103,78
103,78
104,78
104,78
104,78
104,78
104,78
105,78
105,78
105,78
105,78
105,78
105,78
106,78
106,78
106,78
106,78
107,78
107,78
107,78
108,78
108,79
108,79
108,79
108,79
108,79
108,79
108,80
108,80
108,80
108,80
108,80
108,81
108,82
108,82
109,82
110,82
110,82
110,82
110,82
110,83
110,83
110,83
110,83
110,83
111,83
111,83
111,83
111,83
111,83
111,84
111,84
111,84
111,84
112,84
113,84
113,84
114,84
114,84
114,84
114,84
114,84
115,84
115,84
116,84
117,84
117,84
117,84
118,84
118,84
118,84
118,84
118,84
118,84
118,85
118,85
118,85
118,85
118,86
118,86
118,86
118,86
118,86
118,86
119,86
119,86
119,86
119,87
119,87
119,87
119,87
119,88
119,88
120,88
120,88
120,88
121,88
121,88
121,89
121,89
121,89
121,89
121,89
121,89
121,90
121,90
121,90
121,91
121,91
121,91
121,91
121,91
121,91
121,91
121,91
122,91
122,92
122,92
122,92
122,92
122,92
122,92
122,92
122,92
122,92
122,92
122,92
122,93
122,93
122,93
122,93
122,94
123,94
123,94
123,94
123,95
123,95
123,95
123,95
123,95
123,95
124,95
124,95
124,95
124,95
124,95
124,95
124,95
124,95
124,95
124,95
124,95
124,95
125,95
125,95
126,95
126,95
127,95
128,95
128,95
128,95
128,95
129,95
129,95
130,95
130,95
130,95
130,95
130,95
130,95
130,95
131,95
132,95
133,95
133,95
133,95
133,95
134,95
134,95
134,95
134,95
134,95
134,95
134,95
135,95
136,95
136,95
136,95
